,title,location,id,timestamp,user_name,user_url,description,user_type,exp_level,edu_level,emp_level,salary
10,افراد امن وحراسه,وسط القاهرة، القاهرة,181882055,"تم إضافة الإعلان في 02:48 م, 10 سبتمبر 2021, ",mostafa hmedy,https://www.olx.com.eg/ads/user/89re5/,مطلوب افراد امن وحراسه الجيزه الدقي المعادي التجمع الخامس 6 اكتوبر شركه العمل 8 او 10 او 12 ساعه على حسب مكان العمل السن من 18 ل 40 لا يقل المؤهل عن متوسط المرتب من 1800 ل 3000 جنيه ,رب عمل,دبلوم,حديث التخرج,دوام جزئي,
11,أمن وحراسة,عزبة النخل، القاهرة,181893694,"تم إضافة الإعلان في 02:10 م, 10 سبتمبر 2021, ",إسماعيل,https://www.olx.com.eg/ads/user/89hL3/,أنت معنا في أمان وظيفتك  مضمونةالمصداقية أهم في التعامل وهدف منشود بشرط الجدية بنفس مميزات القطاع العام تثبيت وعقد عمل من أول يوم+ تأمين صحي واجتماعي + أجازات سنوية  + ترقيات مطلوب افراد امن العين السخنة مرتب 3200 = 12 ساعة عمل السن من 20 حتي 50  خريجين فقط يوجد سكن  للتواصل واتساب أو فون ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"3,200"
12,امن شركه اسمنت العامريه اسكندريه,برج العرب، الإسكندرية,181893217,"تم إضافة الإعلان في 01:57 م, 10 سبتمبر 2021, ",السيد,https://www.olx.com.eg/ads/user/7Zc4k/,شركه اسمنت العامريه تعلن عن فتح باب العمل بافراد امن 3000 جنيه مصري للتواصل الرجاء الاتصال علي استاذ السيد للتعين فورا 012 - أظهر الرقم - ,رب عمل,بدون شهادة,حديث التخرج,دوام كامل,"3,000"
13,مطلوب على وجه السرعة عمال امن بشركة عالمية,القاهرة الجديدة - التجمع، القاهرة,181879787,"تم إضافة الإعلان في 01:56 م, 10 سبتمبر 2021, ",زينب محمد,https://www.olx.com.eg/ads/user/89oJC/,١٢ساعه عمل الراتب ٣٢٠٠ جنيه السن من ٢١ إلى ٤٠ اقل مؤهل دبلوم متوفر سكن ٢٦ يوم عمل ٤ايام اجازة عقد عمل بدون اى شرط جزائى تأمين صحي  تأمين اجتماعى يونيفورم للاستفسار والاوراق المطلوبة الاتصال على 015 - أظهر الرقم - ا/ زينب محمد متاح واتس وفون من الساعه ٦م  ل ١٢ ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"3,200"
14,مطلوب للتعيين فورا ضابط متقاعد شرطة او جيش للعمل مدير موقع بالتجمع الخ,طوخ، القليوبية,181892827,"تم إضافة الإعلان في 01:47 م, 10 سبتمبر 2021, ",شركة القلعة للامن والحراسة,https://www.olx.com.eg/ads/user/7TSsO/,مطلوب ضابط متقاعد شرطة او جيش للعمل مدير موقع بالتجمع الخامس بالقاهرة يفضل ساكني التجمع  و زهراء مدينة نصر الحى العاشر والمناطق المجاورة المقابلة يوميا عمارة ٣٠٥ ش الميثاق بجوار صيدليه النجار زهراء مدينة نصر الحى ,رب عمل,بكالوريوس,أكثر من ١٠ سنوات,دوام كامل,
15,باحث عن عمل,مصر الجديدة، القاهرة,181877978,"تم إضافة الإعلان في 01:29 م, 10 سبتمبر 2021, ",Ma7amed,https://www.olx.com.eg/ads/user/7uc8y/,أبحث عن عمل في جراج او حارس فيلا بمصر الجديدة أو النزهة ,باحث عن عمل,إبتدائية / ثانوية,أكثر من ١٠ سنوات,دوام كامل,"1,000,000"
16,اعلان عن افراد امن,6 أكتوبر، الجيزة,181877468,"تم إضافة الإعلان في 01:21 م, 10 سبتمبر 2021, ",هاجر,https://www.olx.com.eg/ads/user/89qW6/,العمل 12ساعه ,رب عمل,دبلوم,١-٣ سنوات,دوام كامل,"3,300"
17,افراد امن بدون رسوم توظيف,القاهرة الجديدة - التجمع، القاهرة,181874888,"تم إضافة الإعلان في 12:42 م, 10 سبتمبر 2021, ",أ -محمد,https://www.olx.com.eg/ads/user/6Z8SW/,العمل بمدينة الرحاب 12ساعه شركة استرايك فورس للأمن والخدمات المرتب 2650+4ايام اجازه +وجبه خفيفه+مواصلات من السكن للعمل الاوراق المطلوبه فيش باسم شركة استرايك فورس المؤهل شهادة الخدمه العسكريه شهادة الميلاد البطاقه تكون ساريه العمل بدون رسوم نحن الشركه نفسها ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"3,000"
18,لقيت شغل,الخانكة، القليوبية,181890767,"تم إضافة الإعلان في 12:39 م, 10 سبتمبر 2021, ",Mostafa Eid,https://www.olx.com.eg/ads/user/7ruNi/,oooooooooooo 4أفراد أمن لمول تجاري بالتجمع الخامس  ١٢ ساعة  ومواصلات من دائري المرج والسلام مرتب ٣٠٠٠ جنيه ooooooooooooo 4افراد امن لموقع شركة أمازون بمدينة العاشر من رمضان ١٢ ساعة بالسكن ومواصلات داخليه مرتب ٣٠٠٠ جنيه ooooooooooooo 6 افراد امن لشركه بمدينة ٦ اكتوبر مرتب ٣١٠٠ بالسكن ومواصلات داخليه من سن ٢١سنة الي ٤٥ سنة كل ضمانات القطاع العام بالظبط(إجازات اسبوعيه - ااجازات مرضي َسنوي، زياده سنويه-تأمينات بكل انواعها) التواصل واتساب ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"6,500"
19,انا حارس عقار وابحث عن غفر ه فيلا او عقار وعندي خبره بالمجال 5سنوا ت و,الخصوص، القليوبية,181870978,"تم إضافة الإعلان في 11:41 ص, 10 سبتمبر 2021, ",محمد,https://www.olx.com.eg/ads/user/7FlFn/,اسمي محمد ومتزوج وعندي ثلاث ولاد وابحث عن فيلا العماره وعندي خبره 5سنوا والله الموف ق انا من البحيره ,باحث عن عمل,دبلوم,٣-٥ سنوات,دوام كامل,
20,مطلوب افراد امن ذات خبره سابقه,المعادي، القاهرة,181889341,"تم إضافة الإعلان في 11:30 ص, 10 سبتمبر 2021, ",مدير تسويق,https://www.olx.com.eg/ads/user/7M1DF/,مطلوب افراد امن ذات خبره بالامن والسن لا يذيد عن ٤٥ سنه والطول لا يقل عن١٧٠ ويكون من المناطق المحيطه بداخل المعادى ,رب عمل,دبلوم,١-٣ سنوات,دوام جزئي,
21,مطلوب افراد للعمل بالاسكندريه,شيراتون، القاهرة,181889228,"تم إضافة الإعلان في 11:24 ص, 10 سبتمبر 2021, ",اجي سيف للخدمات,https://www.olx.com.eg/ads/user/7yhax/,احنا شركة امن محتاج افراد الشغل 12 ساعة راتب 2200 امن وحراسة المواقع محطة القبارى ... محطة مصر .... محطة الحضرة تليفون 012 - أظهر الرقم - ,رب عمل,إبتدائية / ثانوية,١-٣ سنوات,دوام كامل,"2,200"
22,شغلك عندنا اياً كان سنك او مؤهلك,عزبة النخل، القاهرة,181866846,"تم إضافة الإعلان في 10:23 ص, 10 سبتمبر 2021, ",عبدالرحمن جمال محمد,https://www.olx.com.eg/ads/user/89qn6/,شغلك معانا اياً كان سنك و مؤهلك مطلوب شباب للعمل بشرم الشيخ و الغردقة و السخنة و مرسي علم في فنادق ٥-٧ نجوم المرتب ٢٠٠٠-٤٠٠٠ حسب الخبرة الوظائف المتاحة: ويتر ، مساعد ويتر ، هوس مان ، امن ، استيور ، اسف جارد ، عمال زراعة ، شروط العمل: السن ١٨ - ٣٥ ، لا يشترط خبرة ، مؤهل او بدون مميزات العمل: سكن متميز للعاملين ، باصات للإجازات ذهاب و عودة ، وجبات في اليوم كافية للعمل تأمين صحي و اجتماعي ، عقد عمل و تثبيت ، ٢٣ يوم عمل و ٧ أيام اجازة ترقيات و زيادة في المرتبات ,,بدون شهادة,حديث التخرج,دوام كامل,
23,مطلوب فورا توظيف شباب افراد امن في الشيخ زايد من 21سنه,حلوان، القاهرة,181887960,"تم إضافة الإعلان في 10:16 ص, 10 سبتمبر 2021, ",الاستاذه اسراء,https://www.olx.com.eg/ads/user/7ZTfq/,محتاجين شباب في مول التجاري للعمل افراد امن ( شباب فقط ) خريجين – طبيعه العمل : مول تجاري – المكان : الشيخ زايد – الراتب :- 2400  جنيه بالاضافة الي مواصلات مجانيه من ( الجيزه  ) + تامينات صحية واجتماعية – المواعيد : 8 ساعات شيفت ثابت – الاجازات : يوم في الاسبوع – الشروط : 21 – 39 سنه – لا يقل عن دبلوم *** الاوراق المطلوبه بعد اجتياز المقابله الشخصيه WhatsApp -Ol2O2O8637l ,رب عمل,دبلوم,١-٣ سنوات,دوام جزئي,"2,400"
24,انا من المنيا عايز شغل حارس عقار,مدينة المنيا، المنيا,181886796,"تم إضافة الإعلان في 08:36 ص, 10 سبتمبر 2021, ",محمدرجاء,https://www.olx.com.eg/ads/user/867YE/,من المنيا دبلوم تجاره 35س.عايز شغل حارس عقار داخل القاهره براتب جيد-سكن 01019665776ملحوظه ممنوع دخول شركات توظيف ,باحث عن عمل,دبلوم,حديث التخرج,دوام جزئي,"3,500"
25,طالب عمل,6 أكتوبر، الجيزة,181885197,"تم إضافة الإعلان في 04:48 ص, 10 سبتمبر 2021, ",عمرو محمد,https://www.olx.com.eg/ads/user/7y9t5/,حراسة رجال الأعمال والشخصيات العامة أو سائق خاص ومعي كورسات في سواقة المطاردات وكنت اعمل الحارس الخاص للسفير البريطاني في السفارة البريطانية ,باحث عن عمل,بكالوريوس,أكثر من ١٠ سنوات,دوام كامل,
26,أفراد أمن,جسر السويس، القاهرة,181884427,"تم إضافة الإعلان في 03:32 ص, 10 سبتمبر 2021, ",شركة الذئب العجوز,https://www.olx.com.eg/ads/user/75rht/,مطلوب أفراد أمن السن لا يقل عن 25 سنة ولا يزيد عن 45 سنة الطول لا يقل عن 180 سم المؤهل متوسط شرط اللباقة وحسن المظهر والإلتزام والجدية فى العمل للتواصل من الساعة 9ص إلى الساعة 5م طوال أيام الإسبوع فيما عدا الجمعة 011 - أظهر الرقم - العنوان : برج الفيروز - أمام عمارات الفاروقية جسر السويس - القاهرة ,رب عمل,دبلوم,١-٣ سنوات,دوام كامل,"3,000"
27,بحث عن عمل,الهرم، الجيزة,181882872,"تم إضافة الإعلان في 02:00 ص, 10 سبتمبر 2021, ",محمود,https://www.olx.com.eg/ads/user/7uKvN/,نصر من الهرم السن ٦٠سنه المؤاهل دبلوم ابحث عن عمل امن الرقم ٠١٠٠٢٢٧٧٥١٤ ,باحث عن عمل,دبلوم,٣-٥ سنوات,دوام جزئي,
28,ابحث عن عمل السن 31سنه,بشتيل، الجيزة,181882751,"تم إضافة الإعلان في 01:53 ص, 10 سبتمبر 2021, ",أمير,https://www.olx.com.eg/ads/user/7VQ9O/,ابحث عن عمل مشرف امن فترة مسائية خبره فى المجال 10سنوات ,باحث عن عمل,بكالوريوس,٥-١٠ سنوات,دوام جزئي,
29,مطلوب افراد امن بمول بأكتوبر,6 أكتوبر، الجيزة,181863277,"تم إضافة الإعلان في 01:40 ص, 10 سبتمبر 2021, ",شركه يقين,https://www.olx.com.eg/ads/user/7FPU7/,مطلوب افراد امن  بمول بأكتوبر #العمل 12ساعة # الراتب 3000 #السن من 21حتى 40 مميزات العمل:_ *العمل 26 يوم * متوفر سكن مجهز ومواصلات داخلية *إجادة القراءة والكتابة *أقل مؤهل دبلوم *4أيام أجازة شهرية *عقد عمل موثق *تأمين صحى *تأمين إحتماعى *وثيقة تأمين على الحياة *فيزا للمرتبات لسهولة التعامل *رصيد أجازات سنوى *دورات تدريبية مجانية *يونيفورم مجانى الأوراق المطلوبة:_ شهادة ميلاد رقم قومى صورة البطاقة الشخصية صورة شهادة الجيش صورة المؤهل الدراسى فيش جنائي ساري للتواصل 010 - أظهر الرقم - ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"3,000"
30,حارس عماره ولاه فيلا,الزمالك، القاهرة,181863142,"تم إضافة الإعلان في 01:38 ص, 10 سبتمبر 2021, ",احمد الشريف,https://www.olx.com.eg/ads/user/890tV/,احمد الشريف من سوهاج متزوج السن30 سنه معنديش اولاد بدور علي شغل حارس عماره ولاه فيلا وانا خبره في مجال حارسه من زمان ياريت لو حد عندو شغل يكلمني ,باحث عن عمل,إبتدائية / ثانوية,٣-٥ سنوات,دوام كامل,
31,مطلوب مراقب كاميرات في مخازن شركة أمريكية في العاشر من رمضان,العاشر من رمضان، الشرقية,181881593,"تم إضافة الإعلان في 01:01 ص, 10 سبتمبر 2021, ",شركة جي فور إس للخدمات الأمنية,https://www.olx.com.eg/ads/user/7PHoE/,شركة چي فور إس للخدمات الأمنية تطلب مراقبين كاميرات ويشترط خبره سابقة العمل في مخازن شركة أمريكية في العاشر من رمضان 8 ساعات بمواصلات الي ميدان الاردنيه ذهاب وعودة مرتب 2900 جنيه بالإضافة إلى over time مؤهل متوسط السن من 21 سنه الي 40 سنة الاوراق المطلوبه صوره بطاقه صوره المؤهل صوره شهاده الجيش صورة شهاده الميلاد أصل فيش جنائي العنوان العاشر من رمضان ميدان الاردنيه سنتر مصريه 1 مدخل ج بجوار مكتبه الاسراء الدور الثالث استاذ كرم حسين مسؤول تعيينات 010 - أظهر الرقم - ,رب عمل,دبلوم,١-٣ سنوات,دوام كامل,"2,900"
32,فرصة عمل في مدينة بدر,مدينة بدر، القاهرة,181881445,"تم إضافة الإعلان في 12:55 ص, 10 سبتمبر 2021, ",شركة جي فور إس للخدمات الأمنية,https://www.olx.com.eg/ads/user/7PHoE/,شركة چي فور إس للخدمات الأمنية تطلب افراد امن للعمل في مخازن شركة الاهرام للمشروبات في مدينة بدر 12 ساعة مرتب 2700 جنيه 26 يوم شغل و 4 ايام اجازه تأمين صحي واجتماعي كل ضمانات القطاع العام مؤهل متوسط التعيين من سن 20 سنة الي 50 سنة الاوراق المطلوبه صوره بطاقه صوره المؤهل صوره شهاده الجيش صورة شهاده الميلاد أصل فيش جنائي العنوان العاشر من رمضان ميدان الاردنيه سنتر مصريه 1 مدخل ج بجوار مكتبه الاسراء الدور الثالث استاذ كرم حسين مسؤول تعيينات ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"2,700"
33,Ahmed M Gamry,حلوان، القاهرة,181881243,"تم إضافة الإعلان في 12:47 ص, 10 سبتمبر 2021, ",Ahmed M Gamry,https://www.olx.com.eg/ads/user/7JOrC/,ابحث عن عمل حراسات خاصه او تدخل سريع جسم رياضي وخبره في مجال الحراسات الخاصة والتدخل السريع ,باحث عن عمل,دبلوم,٣-٥ سنوات,دوام جزئي,"2,500"
34,مطلوب افراد امن,وسط القاهرة، القاهرة,181880013,"تم إضافة الإعلان في 11:54 م, 9 سبتمبر 2021, ",hasnaa,https://www.olx.com.eg/ads/user/7XeQd/,مطلوب افراد امن بكمبوند سكني في التجمع الخامس الشغل  12 ساعة 26 يوم عمل متوفر سكن مجهز الراتب 3000 + وجبة لا يقبل طلبة السن من 21 ل 45 سنة الاستفسار 012 - أظهر الرقم - واتساب فقط ,رب عمل,دبلوم,١-٣ سنوات,دوام كامل,"3,000"
35,مطلوووووب فوراااا افراد امن,القاهرة الجديدة - التجمع، القاهرة,181879414,"تم إضافة الإعلان في 11:30 م, 9 سبتمبر 2021, ",دعاء محمد,https://www.olx.com.eg/ads/user/899bE/,مطلوووووب افراد أمن للتجمع الخامس كمبوند سكني العمل 12ساعه ع الاقل دبلوم الطول170 السن من 20 ل 40 الراتب من 3000 يووجد سكن نفس شروط القطاع العاااااام يوجد تأمينات صحيه واجتماعيه حوافز ترقيات ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"3,000"
36,مطلوب شباب لتعبئة وتغليف حلويات بوسط البلد,مركز الجيزة، الجيزة,181878543,"تم إضافة الإعلان في 10:56 م, 9 سبتمبر 2021, ",Abo Gana Store Online,https://www.olx.com.eg/ads/user/8256t/,مطلوب بشباب لتعبئة وتغليف حلويات بوسط البلد (في غمره)-(لسكان القاهرة والجيزة) بمرتب 2730 ع 26 يوم 12 ساعه السن  من 16 _ 45 سنه المطلوب صورتين بطاقة وصورتين شهادة الميلاد للتواصل مع الإدارة ومواعيد ,رب عمل,بدون شهادة,حديث التخرج,دوام كامل,"2,730"
37,مطلوب افراد امن,6 أكتوبر، الجيزة,181878275,"تم إضافة الإعلان في 10:44 م, 9 سبتمبر 2021, ",خالد,https://www.olx.com.eg/ads/user/6X2yW/,لموقع صن كابيتال حدايق اكتوبر العمل ١٢ ساعه ٣٥٠٠ الافراد ٤٥٠٠ للمشرف ١٢ ساعه ,,إبتدائية / ثانوية,حديث التخرج,دوام كامل,
38,مراقب كاميرات,العصافرة، الإسكندرية,181878048,"تم إضافة الإعلان في 10:35 م, 9 سبتمبر 2021, ",Hr,https://www.olx.com.eg/ads/user/838jG/,مطلوب مراقب كاميرات لمطعم بالاسكندريه السن من27الى40  يفضل الخبره في المجال ,رب عمل,دبلوم,١-٣ سنوات,دوام كامل,2
39,فرد امن,سموحة، الإسكندرية,181877548,"تم إضافة الإعلان في 10:15 م, 9 سبتمبر 2021, ",مدام اسلام,https://www.olx.com.eg/ads/user/7tWTe/,فرد امن لمده ٨ ساعات - برج سكني - سموحه الاسكندريه - الاتصال فقط من الساعه ٢ م الي ٨ م واتساب او تليفون ,رب عمل,إبتدائية / ثانوية,١-٣ سنوات,دوام جزئي,950
40,Maged mohamed,المنصورة، الدقهلية,181877413,"تم إضافة الإعلان في 10:09 م, 9 سبتمبر 2021, ",Maged,https://www.olx.com.eg/ads/user/80f5j/,باحث عن عمل مشرف امن ,باحث عن عمل,دكتوراه,٣-٥ سنوات,دوام كامل,
41,مشرف امن يفضل من افراد القوات المسلحة على المعاش,شيراتون، القاهرة,181877093,"تم إضافة الإعلان في 09:57 م, 9 سبتمبر 2021, ",شركة سيناء,https://www.olx.com.eg/ads/user/853Lo/,محتاجين لمدرسة انترنشونال مشرف امن يفضل من افراد قوات مسلحة على المعاش او من لديهم خبرة فى اشراف الامن المدرسة بالتجمع الخامس ويوجد سكن ومكافات ومنح فى المناسبات الانترفيو اخر يوم الاحد القادم الساعة 10 ونص ص لمعرفة العنوان برجاء ارسالة رسالة ,,بكالوريوس,١-٣ سنوات,دوام كامل,"4,500"
42,مطلوب ضباط أمن إداري في مول في الشيخ زايد ٢٨٠٠ ٨ ساعات,حى الجيزة، الجيزة,181876932,"تم إضافة الإعلان في 09:51 م, 9 سبتمبر 2021, ",hr ashraf allam,https://www.olx.com.eg/ads/user/7jjF5/,,رب عمل,طالب,حديث التخرج,دوام جزئي,"2,800"
43,مطلوب علي وجه السرعة للتعيين (بدون أي رسوم),عين شمس، القاهرة,170425558,"تم إضافة الإعلان في 09:40 م, 9 سبتمبر 2021, ",Mostafa Haidar,https://www.olx.com.eg/ads/user/7ZVjz/,مطلوب علي وجه السرعة للتعيين ( بدون أي رسوم ) ٦٠ فرد أمن للعمل في (بنوك) بمنطقة : ( مدينة نصر ، أكتوبر ، المهندسين ، التجمع الخامس ، المعادي ، العبور ) براتب ٢٧٠٠ ثابت السن من ٢١ إلي ٤٥ عدد ساعات العمل ١٢ ساعة عمل + ساعة بريك أجازة يوم في الأسبوع تأمينات صحية وإجتماعية الأوراق المطلوبة : أصل شهادة الميلاد أصل الموقف من التجنيد أصل المؤهل الدراسي أصل فيش جنائي ساري ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"2,700"
44,لو بدور ع شغل بنفس مميزات القطاع العام واستلام العمل ف نفس اليوم,عزبة النخل، القاهرة,181859386,"تم إضافة الإعلان في 08:46 م, 9 سبتمبر 2021, ",Karim,https://www.olx.com.eg/ads/user/89b0I/,لو بدور علي شغل بنفس مميزات القطاع الخاص واستلام العمل في نفس اليوم : مطلوب افراد امن ع جميع مناطق القاهرة والجيزه علي ( مولات وكمبوندات سكنيه ومواقع تحت الانشاء ) واستلام العمل في اقرب مكان لسكنك أو توفير مواصلات قريبه لسنك لمكان العمل وبمميزات مختلفه مميزات العمل: - استلام العمل في نفس اليوم - توقيع عقد ثابت في نفس اليوم - استلام العمل في نفس اليوم - يوجد سكن ومواصلات - استلام زي للعمل مجانا - يوجد تأمين صحي واجتماعي - توفير اقرب مكان للعمل بالقرب من منطقتك للاستفسار والتواصل الاستاذ: كريم الفون/ 010 - أظهر الرقم - ,رب عمل,طالب,حديث التخرج,دوام كامل,"3,000"
45,ابحث عن عمل حارس عقار,العصافرة، الإسكندرية,181859257,"تم إضافة الإعلان في 08:42 م, 9 سبتمبر 2021, ",ابوذياد,https://www.olx.com.eg/ads/user/88vqQ/,السلام عليكم ورحمة الله وبركاته اسمي ياسرمن الأقصر وأقيم في الإسكندرية متزوج ولدي طفلين السن ٣٥ سنه ابحث عن عمل حارس فيلا اوغفيرعقار تحت الإنشاء اوغفره ليليه ,باحث عن عمل,دبلوم,٥-١٠ سنوات,دوام كامل,"1,111"
46,مطلوب للعمل ويتوفر اقامه,حى الجيزة، الجيزة,181874702,"تم إضافة الإعلان في 08:33 م, 9 سبتمبر 2021, ",سامح,https://www.olx.com.eg/ads/user/6Z9uK/,مطلوب أفراد أمن لكمبوند سكنى فاخر بميدان الرمايه لايشترط الخبره ويجب أن يكون مظهره لائق ولياقه بدنيه مقبوله السن لايقل عن23 ولا يزيد السن عن 40 سنه ويتوفر أقامه بالكمبوند. حوافز للمتميزين ,رب عمل,دبلوم,٣-٥ سنوات,دوام كامل,"3,000"
47,مطلوب افراد امن باكتوبر,عين شمس، القاهرة,181858899,"تم إضافة الإعلان في 08:23 م, 9 سبتمبر 2021, ",محمود عادل,https://www.olx.com.eg/ads/user/89onc/,أفراد أمن بمول  بأكتوبر العمل 12ساعة الراتب 3000 السن من 21حتى 40 مميزات العمل العمل 26 يوم متوفر سكن مجهز ومواصلات داخلية إجادة القراءة والكتابة أقل مؤهل دبلوم 4أيام أجازة شهرية عقد عمل موثق تأمين صحى تأمين إجتماعى وثيقة تأمين على الحياة فيزا للمرتبات لسهولة التعامل رصيد أجازات سنوى دورات تدريبية يونيفورم الأوراق المطلوبة شهادة ميلاد رقم قومى صورة البطاقة الشخصية صورة شهادة الجيش صورة المؤهل الدراسى فيش جنائى سارى للإستفسار الإتصال على 011 - أظهر الرقم - واتساب او فون ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"3,000"
